Position,Job URL,Job ID,Job Title,Company URL,Company ID,Company Logo,Company Name,Location,Work Type,Posted Date,Response Time
1,https://www.linkedin.com/jobs/view/4070746007/,4070746007,Clinical Data Analyst- Life Sciences/ Pharma,https://www.linkedin.com/company/yseop/,303309,https://media.licdn.com/dms/image/v2/C4E0BAQEjT6dOIn5UzA/company-logo_400_400/company-logo_400_400/0/1678383254257/yseop_logo?e=1740614400&v=beta&t=zAPFB65jBeniPPqTAo_d_rbVIhFY-c18J-ProRF0xNo,Yseop,Greater Paris Metropolitan Region,Hybrid,06/11/2024,Response time is typically 6 days
2,https://www.linkedin.com/jobs/view/4072218870/,4072218870,Consultant expérimenté Data analyst | CDI | F/H,https://www.linkedin.com/company/pwc-france/,3230748,https://media.licdn.com/dms/image/v2/D4E0BAQGTzzm8snkfQQ/company-logo_400_400/company-logo_400_400/0/1720002580657/pwc_france_logo?e=1740614400&v=beta&t=_cP2qLnPW-iGbLzNkb5uKwxhwThBmBq7FNefdLzCPP0,PwC France,"Neuilly-sur-Seine, Île-de-France, France",Hybrid,08/11/2024,2 school alumni work here
3,https://www.linkedin.com/jobs/view/4071602365/,4071602365,Senior data analyst | Deals (M&A) | CDI | H/F,https://www.linkedin.com/company/pwc-france/,3230748,https://media.licdn.com/dms/image/v2/D4E0BAQGTzzm8snkfQQ/company-logo_400_400/company-logo_400_400/0/1720002580657/pwc_france_logo?e=1740614400&v=beta&t=_cP2qLnPW-iGbLzNkb5uKwxhwThBmBq7FNefdLzCPP0,PwC France,"Neuilly-sur-Seine, Île-de-France, France",Hybrid,07/11/2024,2 school alumni work here
4,https://www.linkedin.com/jobs/view/4074791566/,4074791566,Consultant(e) Data Analyst BI,https://www.linkedin.com/company/nextra-partners/,42125172,https://media.licdn.com/dms/image/v2/C4D0BAQHYv5hdI8KTyg/company-logo_400_400/company-logo_400_400/0/1676280795928/nextra_partners_logo?e=1740614400&v=beta&t=EBs1K5BjMqcsvsJEd1nBGux_AKSXcCh9rWqjQ9nspUE,Nextra,"Marseille, Provence-Alpes-Côte d'Azur, France",Hybrid,12/11/2024,Response time is typically 4 days
5,https://www.linkedin.com/jobs/view/4082849163/,4082849163,Web Analyst H/F,https://www.linkedin.com/company/cr-dit-agricole-de-champagne-bourgogne/,1962853,https://media.licdn.com/dms/image/v2/C560BAQG55ZQW0UXA1w/company-logo_400_400/company-logo_400_400/0/1631354934916?e=1740614400&v=beta&t=ZexkPAFHdjndhyFwW2pThbepCQ5HzDX5TydbDg4BTe8,Crédit Agricole de Champagne-Bourgogne,"Troyes, Grand Est, France",Hybrid,26/11/2024,
6,https://www.linkedin.com/jobs/view/4073423408/,4073423408,Data Analyst Senior,https://www.linkedin.com/company/lelynx-fr/,733702,https://media.licdn.com/dms/image/v2/D4E0BAQHlHcxIfRQfDg/company-logo_400_400/company-logo_400_400/0/1699893875509/lelynx_fr_logo?e=1740614400&v=beta&t=zxU_0meNA95QkiEogdSzbOvIyXogPQDuSmEtdzT6d98,LeLynx.fr,"Paris, Île-de-France, France",Hybrid,13/11/2024,Applicant review time is typically 4 days
7,https://www.linkedin.com/jobs/view/4074598583/,4074598583,Consultant Power BI Confirme H/F,https://www.linkedin.com/company/acssi/,9488824,https://media.licdn.com/dms/image/v2/C4E0BAQFxwM5PU78aOA/company-logo_400_400/company-logo_400_400/0/1658839018998/acssi_logo?e=1740614400&v=beta&t=r6LhSgFZv2vu9PHNBWobKE1FRbozuMsc-xIqobjAkuI,ACSSI,"Lille, Hauts-de-France, France",Hybrid,14/11/2024,Response time is typically 4 days
8,https://www.linkedin.com/jobs/view/4063724613/,4063724613,Financial Data/BI Analyst - H/F,https://www.linkedin.com/company/devoteam/,4160,https://media.licdn.com/dms/image/v2/C560BAQEloqEBLHUukg/company-logo_400_400/company-logo_400_400/0/1630631081923/devoteam_logo?e=1740614400&v=beta&t=H6gPDle4jpyvBmcMSSmgtmLX_JbMTKTpIVzlXx89PGc,Devoteam,"Levallois-Perret, Île-de-France, France",Hybrid,22/11/2024,2 connections work here
9,https://www.linkedin.com/jobs/view/3918704876/,3918704876,Consultant expérimenté Data Analytics H/F,https://www.linkedin.com/company/julhiet-sterwen/,4871326,https://media.licdn.com/dms/image/v2/C510BAQEDPDYLt_AHaw/company-logo_400_400/company-logo_400_400/0/1631366944860?e=1740614400&v=beta&t=ckZvo5UP83THrljttgZX0wMDEBRHA6o7lG0E9i1qsVQ,julhiet sterwen,"Neuilly-sur-Seine, Île-de-France, France",Remote,19/11/2024,
10,https://www.linkedin.com/jobs/view/4054938267/,4054938267,Investment Data Analyst,https://www.linkedin.com/company/axa-investment-managers/,5653,https://media.licdn.com/dms/image/v2/D4E0BAQH0MhhhRzbvWQ/company-logo_400_400/company-logo_400_400/0/1688550115006/axa_investment_managers_logo?e=1740614400&v=beta&t=cqe3CKZJqKE_eqxjvcjdk2SH4amoQCWGuz_xh_IhmCw,AXA Investment Managers,"Puteaux, Île-de-France, France",Hybrid,12/11/2024,1 school alum works here
11,https://www.linkedin.com/jobs/view/4047794649/,4047794649,Data Analyst Finance Confirmé F/H,https://www.linkedin.com/company/thales/,1951,https://media.licdn.com/dms/image/v2/C4D0BAQEmnUAXTuLkJQ/company-logo_400_400/company-logo_400_400/0/1631366051478/thales_logo?e=1740614400&v=beta&t=sSex6YqCmU0t3-y-UNO1GiZ000FismeGpDPKiSRxu0k,Thales,"Élancourt, Île-de-France, France",Hybrid,22/11/2024,1 company alum works here
12,https://www.linkedin.com/jobs/view/4023899683/,4023899683,Ingénieur data analyst et support contrats de service (h/f),https://www.linkedin.com/company/liebherr/,11057,https://media.licdn.com/dms/image/v2/C560BAQG3lyTi3B8qQQ/company-logo_400_400/company-logo_400_400/0/1630647286440/liebherr_logo?e=1740614400&v=beta&t=gnvmFKb49d2wIYAQn_-uAy4w3wl4GJw3YAiFl0XmgsA,Liebherr Group,"Colmar, Grand Est, France",Hybrid,17/11/2024,1 school alum works here
13,https://www.linkedin.com/jobs/view/4062019180/,4062019180,Consultant Senior BI,https://www.linkedin.com/company/orange-business/,1112,https://media.licdn.com/dms/image/v2/C4E0BAQHkuI2zyi1F8Q/company-logo_400_400/company-logo_400_400/0/1676538388568/orange_business_services_logo?e=1740614400&v=beta&t=_OEd3XdZBTipETnYwfV_NXet6yDZQYl1Lgeow6F1c3s,Orange Business,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,30/10/2024,10 school alumni work here
14,https://www.linkedin.com/jobs/view/4078652740/,4078652740,VALRHONA - Data Analyst H/F - CDI,https://www.linkedin.com/company/savencia-groupe/,82053,https://media.licdn.com/dms/image/v2/C4D0BAQH58L46GfeCJw/company-logo_400_400/company-logo_400_400/0/1631342355610?e=1740614400&v=beta&t=zRlkmCBWEma52QPs2oMYKKgRYtpWQGwd-c0bqPIhjow,SAVENCIA,"Tain-l’Hermitage, Auvergne-Rhône-Alpes, France",Hybrid,20/11/2024,
15,https://www.linkedin.com/jobs/view/4051987105/,4051987105,Data Analyst H/F,https://www.linkedin.com/company/lincoln-/,3178052,https://media.licdn.com/dms/image/v2/D4D0BAQFeB3trnvEzdw/company-logo_400_400/company-logo_400_400/0/1730300454805/lincoln__logo?e=1740614400&v=beta&t=tdLul3CXeJjkIAG-SD9pkuSxskEfx1Xdz0w8YMKc8sk,Lincoln France,"Île-de-France, France",Hybrid,11/11/2024,Response time is typically 4 days
16,https://www.linkedin.com/jobs/view/4077220575/,4077220575,Data Analyst Confirmé H/F,https://www.linkedin.com/company/assystem/,162559,https://media.licdn.com/dms/image/v2/D4E0BAQH79W8Z5_QE_w/company-logo_400_400/company-logo_400_400/0/1664277717040/assystem_logo?e=1740614400&v=beta&t=IVCvs7rjeHRv_Y7Vq84YLHBIubCxP7BX4b0MWCqaTaY,Assystem,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,18/11/2024,
17,https://www.linkedin.com/jobs/view/3943905521/,3943905521,Data Analyst - Strasbourg (H/F),https://www.linkedin.com/company/mca-france/,988828,https://media.licdn.com/dms/image/v2/C4E0BAQGRqYiVJJdA7Q/company-logo_400_400/company-logo_400_400/0/1672740397329/mca_ingenierie_logo?e=1740614400&v=beta&t=zBTkdjzJdKqO8TIgaUB38Uqa8OA1Vy3WduHBDkEQqPs,MCA,"Grand Est, France",Hybrid,09/11/2024,1 connection works here
